accident_index,accident_severity
201501CP00100,3
201501CP00101,3
201501CP00102,3
201501CP00103,3
201501CP00104,3
201501CP00105,3
201501CP00106,3
201501CP00108,3
201501CP00109,3
201501CP00110,3
201501CP00111,3
201501CP00112,3
201501CP00113,3
201501CP00114,3
201501CP00115,3
201501CP00116,3
201501CP00117,3
201501CP00118,3
201501CP00119,3
201501CP00120,3
201501CP00121,3
201501CP00122,3
201501CP00123,2
201501CP00124,3
201501CP00125,3
201501CP00126,3
201501CP00127,2
201501CP00128,3
201501CP00129,3
201501CP00130,3
201501CP00131,3
201501CP00132,2
201501CP00133,2
201501CP00134,3
201501CP00135,3
201501CP00136,2
201501CP00137,3
201501CP00138,3
201501CP00139,3
201501CP00140,3
201501CP00141,3
201501CP00142,3
201501CP00143,3
201501CP00144,2
201501CP00145,3
201501CP00146,3
201501CP00147,3
201501CP00148,3
201501CP00149,3
201501CP00150,3
201501CP00151,3
201501CP00152,3
201501CP00153,3
201501CP00154,3
201501CP00155,2
201501CP00156,3
201501CP00157,3
201501CP00158,3
201501CP00159,3
201501CP00161,3
201501CP00163,3
201501CP00164,2
201501CP00165,3
201501CP00167,3
201501CP00168,3
201501CP00169,3
201501CP00170,3
201501CP00171,3
201501CP00172,3
201501CP00173,3
201501CP00174,3
201501CP00175,3
201501CP00176,3
201501CP00177,3
201501CP00178,3
201501CP00179,3
201501CP00180,3
201501CP00181,1
201501CP00182,3
201501CP00183,3
201501CP00184,3
201501CP00185,3
201501CP00186,3
201501CP00187,3
201501CP00188,3
201501CP00189,3
201501CP00190,3
201501CP00191,3
201501CP00192,3
201501CP00193,3
201501CP00194,2
201501CP00195,2
201501CP00196,3
201501CP00198,3
201501CP00199,2
201501CP00200,3
201501CP00201,3
201501CP00202,3
201501CP00203,3
201501CP00204,3
201501CP00205,3
201501CP00207,2
201501CP00208,3
201501CP00209,3
201501CP00210,3
201501CP00211,2
201501CP00212,3
201501CP00213,3
201501CP00214,3
201501CP00215,3
201501CP00216,3
201501CP00217,3
201501CP00218,3
201501CP00219,2
201501CP00220,3
201501CP00221,3
201501CP00222,3
201501CP00223,3
201501CP00224,3
201501CP00225,3
201501CP00226,3
201501CP00227,3
201501CP00229,3
201501CP00231,2
201501CP00232,3
201501CP00233,2
201501CP00234,2
201501CP00235,3
201501CP00236,3
201501CP00237,3
201501CP00238,3
201501CP00239,3
201501CP00240,3
201501CP00241,3
201501CP00242,3
201501CP00243,3
201501CP00244,3
201501CP00245,3
201501CP00246,2
201501CP00247,3
201501CP00248,3
201501CP00249,3
201501CP00250,3
201501CP00251,3
201501CP00252,3
201501CP00253,3
201501CP00254,3
201501CP00255,3
201501CP00256,3
201501CP00257,3
201501CP00258,3
201501CP00259,2
201501CP00260,3
201501CP00261,3
201501CP00262,3
201501CP00263,3
201501CP00264,3
201501CP00265,3
201501CP00266,3
201501CP00267,3
201501CP00268,3
201501CP00269,3
201501CP00270,2
201501CP00271,3
201501CP00272,3
201501CP00273,3
201501CP00274,3
201501CP00275,3
201501CP00276,3
201501CP00277,3
201501CP00278,3
201501CP00279,3
201501CP00280,2
201501CP00281,3
201501CP00282,3
201501CP00283,3
201501CP00284,3
201501CP00285,3
201501CP00286,3
201501CP00287,3
201501CP00288,2
201501CP00289,3
201501CP00290,3
201501CP00291,3
201501CP00293,3
201501CW10001,3
201501CW10002,3
201501CW10003,3
201501CW10004,3
201501CW10005,3
201501CW10006,3
201501CW10007,3
201501CW10010,3
201501CW10011,3
201501CW10012,3
201501CW10013,3
201501CW10015,3
201501CW10016,2
201501CW10017,3
201501CW10018,3
201501CW10019,3
201501CW10020,3
201501CW10021,2
201501CW10023,3
201501CW10026,3
201501CW10027,3
201501CW10029,3
201501CW10030,3
201501CW10031,3
201501CW10032,3
201501CW10034,3
